question_number,question_text,option_count,correct_answer_numbers,Required,keyword,image,option1,option1_length,option2,option2_length,option3,option3_length,option4,option4_length,correct_answer_text,short_last_option,question_length,rules
64,Người lái xe mô tô có văn hóa giao thông khi tham gia giao thông phải tuân thủ những quy định nào dưới đây?,3,1,False,xe mô tô,False,"Điều khiển xe đi bên phải theo chiều đi của mình; đi đúng phần đường, làn đường quy định; đội mũ bảo hiểm đúng quy chuẩn kỹ thuật quốc gia, cài quai đúng quy cách.",163,"Điều khiển xe đi trên phần đường, làn đường có ít phương tiện tham gia giao thông.",82,Điều khiển xe và đội mũ bảo hiểm ở nơi có biển báo bắt buộc đội mũ bảo hiểm.,76,,0,"Điều khiển xe đi bên phải theo chiều đi của mình; đi đúng phần đường, làn đường quy định; đội mũ bảo hiểm đúng quy chuẩn kỹ thuật quốc gia, cài quai đúng quy cách.",True,107,ルール6 55%
65,Người điều khiển phương tiện tham gia giao thông đường bộ được hiểu như thế nào là đúng?,3,1,False,giao thông,False,"Là người điều khiển xe cơ giới, người điều khiển xe thô sơ, người điều khiển xe máy chuyên dùng.",96,Là người được giao nhiệm vụ hướng dẫn giao thông trên đường bộ.,63,Cả hai ý trên.,14,,0,"Là người điều khiển xe cơ giới, người điều khiển xe thô sơ, người điều khiển xe máy chuyên dùng.",True,88,ルール4 56%
66,“Làn đường” là gì?,3,2,False,làn,False,"Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, sử dụng cho xe chạy.",91,"Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, có đủ chiều rộng cho xe chạy an toàn.",108,"Là đường cho xe ô tô chạy, dừng, đỗ an toàn.",44,,0,"Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, có đủ chiều rộng cho xe chạy an toàn.",True,18,ルール8 51%
67,"Người lái xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy không được thực hiện các hành vi nào dưới đây?",3,3,False,xe mô tô,False,Đi xe dàn hàng ngang; đi xe vào phần đường dành cho người đi bộ và phương tiện khác.,84,"Sử dụng ô, thiết bị âm thanh, trừ thiết bị trợ thính.",53,Cả hai ý trên.,14,,0,Cả hai ý trên.,True,104,ルール4 56%
68,"Người lái xe được phép vượt xe trên cầu hẹp có một làn đường, đường cong có tầm nhìn bị hạn chế hay không?",3,2,False,vượt,False,Được phép vượt khi đường vắng.,30,Không được phép vượt.,21,Được phép vượt khi có việc gấp.,31,,0,Không được phép vượt.,False,106,ルール8 51%
69,Biển nào báo hiệu sắp đến chỗ giao nhau giữa đường bộ và đường sắt?,4,1,False,biển,True,Biển 1.,7,Biển 2.,7,Biển 3.,7,Cả 1 và biển 3.,17,Biển 1.,False,67,ルール3b 80%
70,Có bao nhiêu nhóm biển báo hiệu đường bộ?,3,3,False,biển,False,"Ba nhóm: Biển báo cấm, biển báo nguy hiểm và biển hiệu lệnh.",60,"Bốn nhóm: Biển báo cấm, biển báo nguy hiểm, biển hiệu lệnh và biển phụ.",71,"Năm nhóm: Biển báo cấm, biển báo nguy hiểm, biển hiệu lệnh, biển chỉ dẫn, biển phụ.",83,,0,"Năm nhóm: Biển báo cấm, biển báo nguy hiểm, biển hiệu lệnh, biển chỉ dẫn, biển phụ.",False,41,ルール7 42%
71,"Người điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy có được phép sử dụng xe để kéo hoặc đẩy các phương tiện khác khi tham gia giao thông không?",4,4,False,xe mô tô,False,Được phép.,10,"Nếu phương tiện được kéo, đẩy có khối lượng nhỏ hơn phương tiện của mình.",73,Tùy trường hợp.,15,Không được phép.,16,Không được phép.,True,156,ルール9 60%
72,"Trường hợp người được chở trên xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy không đội ""mũ bảo hiểm cho người đi mô tô, xe máy"" hoặc không cài quai đúng quy cách (trừ trường hợp chở người bệnh đi cấp cứu, trẻ em dưới 06 tuổi, áp giải người có hành vi vi phạm pháp luật) thì việc xử phạt vi phạm hành chính được quy định như thế nào?",4,4,False,xe mô tô,False,Không bị xử phạt chỉ bị nhắc nhở.,33,"Người được chở không bị xử phạt, chỉ xử phạt người điều khiển xe mô tô, xe gắn máy.",83,"Người được chở bị xử phạt, không xử phạt người điều khiển xe mô tô, xe gắn máy.",79,"Xử phạt cả người điều khiển và người được chở trên xe mô tô, xe gắn máy.",72,"Xử phạt cả người điều khiển và người được chở trên xe mô tô, xe gắn máy.",False,373,ルール10 62%
73,"Người có giấy phép lái xe chưa bị trừ hết 12 điểm, được phục hồi điểm giấy phép lái xe trong trường hợp nào sau đây?",2,2,False,giấy phép,False,Không được phục hồi.,20,"Được phục hồi đủ 12 điểm, nếu không bị trừ điểm trong thời hạn 12 tháng từ ngày bị trừ điểm gần nhất.",101,,0,,0,"Được phục hồi đủ 12 điểm, nếu không bị trừ điểm trong thời hạn 12 tháng từ ngày bị trừ điểm gần nhất.",False,116,ルール2 100%
74,Gặp biển nào người lái xe phải nhường đường cho người đi bộ?,3,1,False,biển,True,Biển 1.,7,Biển 2.,7,Biển 3.,7,,0,Biển 1.,False,60,ルール3a 80%
75,"Khi điều khiển phương tiện tham gia giao thông, hành vi nào sau đây bị cấm?",2,1,False,giao thông,False,Dùng tay cầm và sử dụng điện thoại hoặc thiết bị điện tử khác.,62,"Chỉ được chở người trên thùng xe ô tô chở hàng trong trường hợp chở người đi làm nhiệm vụ cứu nạn, cứu hộ, phòng, chống thiên tai, dịch bệnh hoặc thực hiện nhiệm vụ khẩn cấp.",174,,0,,0,Dùng tay cầm và sử dụng điện thoại hoặc thiết bị điện tử khác.,False,75,ルール2 100%
76,"Các xe đi theo hướng mũi tên, xe nào chấp hành đúng quy tắc giao thông?",4,2,False,giao thông,False,"Xe tải, xe mô tô.",17,"Xe khách, xe mô tô.",19,"Xe tải, xe con.",15,"Xe mô tô, xe con.",17,"Xe khách, xe mô tô.",False,71,ルール10 62%
77,Biển báo dưới đây có ý nghĩa như thế nào?,4,1,False,biển,False,Chỉ dẫn khoảng cách đến làn đường cứu nạn (làn thoát xe khẩn cấp).,66,Báo hiệu đường cụt phía trước.,30,Báo hiệu nút giao gần nhất phía trước.,38,Báo hiệu trạm dừng nghỉ phía trước.,35,Chỉ dẫn khoảng cách đến làn đường cứu nạn (làn thoát xe khẩn cấp).,True,41,ルール9 60%
78,"Khi có tín hiệu của xe ưu tiên, người và phương tiện tham gia giao thông đường bộ phải tuân thủ quy định nào dưới đây?",3,1,False,giao thông,False,"Giảm tốc độ, đi sát lề đường bên phải hoặc dừng lại để nhường đường.",68,Tăng tốc độ và đi sát lề đường bên phải để nhường đường.,56,"Giảm tốc độ, đi sát lề đường bên trái để nhường đường.",54,,0,"Giảm tốc độ, đi sát lề đường bên phải hoặc dừng lại để nhường đường.",False,118,ルール8 51%
79,Vạch mũi tên chỉ hướng trên mặt đường nào dưới đây cho phép xe chỉ được đi thẳng và rẽ phải?,4,3,False,vạch,False,Vạch 1.,7,Vạch 2 và vạch 3.,17,Vạch 3.,7,Vạch 1 và vạch 2.,17,Vạch 3.,False,92,ルール10 62%
80,Người lái xe không được vượt xe khác khi gặp trường hợp nào dưới đây?,3,1,False,không,False,"Trên cầu hẹp có một làn đường; nơi đường giao nhau, đường bộ giao nhau cùng mức với đường sắt; khi gặp xe ưu tiên.",114,Trên cầu có từ 02 làn xe trở lên.,33,Trên đường có 02 làn đường được phân chia làn bằng vạch kẻ nét đứt.,67,,0,"Trên cầu hẹp có một làn đường; nơi đường giao nhau, đường bộ giao nhau cùng mức với đường sắt; khi gặp xe ưu tiên.",True,69,ルール8 51%
81,Người lái xe trên đường cần chấp hành quy định về tốc độ tối đa như thế nào?,3,3,False,tốc độ,False,Chỉ lớn hơn tốc độ tối đa cho phép khi đường vắng.,50,Chỉ lớn hơn tốc độ tối đa cho phép khi vào ban đêm.,51,Không vượt quá tốc độ tối đa cho phép.,38,,0,Không vượt quá tốc độ tối đa cho phép.,False,76,ルール8 51%
82,Biển nào cấm xe rẽ trái?,3,1,False,biển,True,Biển 1.,7,Biển 2.,7,Cả hai biển.,12,,0,Biển 1.,False,24,ルール3a 80%
83,"Tại nơi có vạch kẻ đường hoặc tại nơi mà người đi bộ, xe lăn của người khuyết tật đang qua đường, người điều khiển phương tiện tham gia giao thông phải thực hiện như thế nào?",3,2,False,giao thông,False,"Giảm tốc độ và nhường đường cho người đi bộ, xe lăn của người khuyết tật qua đường đảm bảo an toàn.",99,"Quan sát, giảm tốc độ hoặc dừng lại để bảo đảm an toàn cho người đi bộ, xe lăn của người khuyết tật qua đường.",110,"Quan sát, tăng tốc độ và điều khiển phương tiện nhanh chóng đi qua.",67,,0,"Quan sát, giảm tốc độ hoặc dừng lại để bảo đảm an toàn cho người đi bộ, xe lăn của người khuyết tật qua đường.",False,174,ルール8 51%
84,Khái niệm về văn hóa giao thông được hiểu như thế nào là đúng?,3,3,False,giao thông,False,"Là sự hiểu biết và chấp hành nghiêm chỉnh pháp luật về giao thông, là ý thức trách nhiệm với cộng đồng khi tham gia giao thông.",127,"Là sự tôn trọng, nhường nhịn, giúp đỡ và ứng xử có văn hóa giữa những người tham gia giao thông với nhau.",105,Cả hai ý trên.,14,,0,Cả hai ý trên.,True,62,ルール4 56%
85,"Người được chở trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông đường bộ có được bám, kéo hoặc đẩy các phương tiện khác không?",4,4,False,xe mô tô,False,Được phép.,10,Được bám trong trường hợp phương tiện của mình bị hỏng.,55,"Được kéo, đẩy trong trường hợp phương tiện khác bị hỏng.",56,Không được phép.,16,Không được phép.,True,154,ルール9 60%
86,Người lái xe khi tham gia giao thông đường bộ phải đảm bảo các điều kiện nào dưới đây?,3,1,False,giao thông,False,"Phải đủ tuổi, sức khỏe theo quy định của pháp luật; có giấy phép lái xe đang còn điểm, còn hiệu lực phù hợp với loại xe đang điều khiển do cơ quan có thẩm quyền cấp (trừ người lái xe gắn máy).",192,Phải là người đứng tên trong đăng ký xe.,40,Cả hai ý trên.,14,,0,"Phải đủ tuổi, sức khỏe theo quy định của pháp luật; có giấy phép lái xe đang còn điểm, còn hiệu lực phù hợp với loại xe đang điều khiển do cơ quan có thẩm quyền cấp (trừ người lái xe gắn máy).",True,86,ルール4 56%
87,"Theo hướng mũi tên, những hướng nào xe gắn máy được phép đi?",3,1,False,theo,False,Cả ba hướng.,12,Chỉ hướng 1 và 3.,17,Chỉ hướng 1.,12,,0,Cả ba hướng.,False,60,ルール8 51%
88,"Biển nào báo hiệu ""Hết đoạn đường ưu tiên""?",3,3,False,biển,True,Biển 1.,7,Biển 2.,7,Biển 3.,7,,0,Biển 3.,False,43,ルール3a 80%
89,"Theo tín hiệu đèn, xe nào đi là đúng quy tắc giao thông?",2,1,False,giao thông,False,Xe con và xe khách.,19,Xe mô tô.,9,,0,,0,Xe con và xe khách.,True,56,ルール2 100%
90,"Khi ở một vị trí vừa có biển báo hiệu đặt cố định vừa có biển báo hiệu tạm thời mà hai biển có ý nghĩa khác nhau, người tham gia giao thông đường bộ phải chấp hành hiệu lệnh của biển báo hiệu nào?",3,2,False,biển,False,Biển báo hiệu đặt cố định.,26,Biển báo hiệu tạm thời.,23,Theo quyết định của người tham gia giao thông nhưng phải bảo đảm an toàn.,73,,0,Biển báo hiệu tạm thời.,False,196,ルール8 51%
91,Hành vi nào dưới đây bị nghiêm cấm?,3,2,False,cấm,False,Sử dụng xe đạp đi trên các tuyến quốc lộ.,41,"Rải vật sắc nhọn, đổ chất gây trơn trượt trên đường bộ.",55,Cả hai ý trên.,14,,0,"Rải vật sắc nhọn, đổ chất gây trơn trượt trên đường bộ.",True,35,ルール4 56%
92,Phương tiện tham gia giao thông đường bộ di chuyển với tốc độ thấp hơn phải đi như thế nào?,3,2,False,tốc độ,False,Đi về bên trái theo chiều đi của mình.,38,Đi về bên phải theo chiều đi của mình.,38,Đi ở bất cứ bên nào nhưng phải bấm đèn cảnh báo nguy hiểm để báo hiệu cho các phương tiện khác.,95,,0,Đi về bên phải theo chiều đi của mình.,False,91,ルール8 51%
93,"Người lái xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy không được thực hiện các hành vi nào dưới đây?",4,4,False,xe mô tô,False,Đi xe dàn hàng ngang; buông cả hai tay.,39,"Sử dụng xe để kéo, đẩy xe khác, vật khác, dẫn dắt vật nuôi, mang, vác và chở vật cồng kềnh; chở người đứng trên xe, giá đèo hàng hoặc ngồi trên tay lái; xếp hàng hóa trên xe quá giới hạn quy định.",196,"Ngồi về một bên điều khiển xe; đứng, nằm trên xe điều khiển xe; thay người lái xe khi xe đang chạy; quay người về phía sau để điều khiển xe hoặc bịt mắt điều khiển xe; sử dụng chân chống hoặc vật khác quệt xuống đường khi xe đang chạy.",235,Cả ba ý trên.,13,Cả ba ý trên.,True,104,ルール9 60%
94,"Khi tới đường ngang không có người gác, chắn đường bộ, chuông, đèn tín hiệu, người tham gia giao thông đường bộ phải làm gì để bảo đảm an toàn?",3,1,False,giao thông,False,"Dừng lại về bên phải đường của mình, trước vạch dừng xe và quan sát hai phía, khi không có phương tiện giao thông đường sắt tới mới được đi qua.",144,"Quan sát hai phía, khi không có phương tiện giao thông đường sắt tới thì nhanh chóng đi qua.",92,"Dừng lại khoảng cách tối thiểu 3 mét tính từ ray đường sắt gần nhất, khi không có phương tiện giao thông đường sắt tới thì nhanh chóng đi qua.",142,,0,"Dừng lại về bên phải đường của mình, trước vạch dừng xe và quan sát hai phía, khi không có phương tiện giao thông đường sắt tới mới được đi qua.",False,143,ルール5 78%
95,Biển nào báo hiệu các phương tiện phải tuân thủ tốc độ tối đa cho phép trên từng làn đường?,3,3,False,tốc độ,True,Biển 1.,7,Biển 2.,7,Cả hai biển.,14,,0,Cả hai biển.,False,91,ルール3a 80%
96,"Biển nào báo hiệu ""Giao nhau với đường ưu tiên""?",4,3,False,biển,True,Biển 1.,7,Biển 2.,7,Biển 3.,7,Cả ba biển.,13,Biển 3.,False,48,ルール3b 80%
97,Biển nào cấm quay đầu xe?,4,2,False,biển,True,Biển 1.,7,Biển 2.,7,Không biển nào.,17,Cả hai biển..,13,Biển 2.,False,25,ルール3b 80%
98,"Biển nào báo hiệu ""Cầu vượt liên thông""?",4,3,False,biển,True,Biển 2 và biển 3.,17,Biển 1 và biển 2.,17,Biển 1 và biển 3.,17,Cả ba biển.,11,Biển 1 và biển 3.,False,40,ルール3b 80%
99,"Khi có xe xin vượt, người lái xe mô tô xử lý như thế nào nếu đủ điều kiện an toàn cho xe phía sau vượt?",3,1,False,xe mô tô,False,"Giảm tốc độ, có tín hiệu rẽ phải để báo hiệu cho người điều khiển phương tiện tham gia giao thông đường bộ phía sau biết được vượt và đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua, không được cản trở đối với xe xin vượt.",247,"Lái xe vào lề đường bên trái và giảm tốc độ để xe phía sau vượt qua, không được gây trở ngại đối với xe xin vượt.",113,"Tăng tốc độ, đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua.",86,,0,"Giảm tốc độ, có tín hiệu rẽ phải để báo hiệu cho người điều khiển phương tiện tham gia giao thông đường bộ phía sau biết được vượt và đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua, không được cản trở đối với xe xin vượt.",True,103,ルール6 55%
100,"Biển nào báo hiệu ""Kết thúc đường đôi""?",3,3,False,biển,True,Biển 1.,7,Biển 2.,7,Biển 3.,7,,0,Biển 3.,False,39,ルール3a 80%
101,"Tại đoạn đường có biển ""Làn đường dành riêng cho từng loại xe"" dưới đây, các phương tiện có được phép chuyển sang làn khác để đi theo hành trình mong muốn khi đến gần nơi đường bộ giao nhau hay không?",2,1,False,biển,False,Được phép chuyển sang làn khác.,31,"Không được phép chuyển sang làn khác, chỉ được đi trong làn quy định theo biển.",79,,0,,0,Được phép chuyển sang làn khác.,False,200,ルール2 100%
102,"Biển nào báo hiệu ""Nơi đỗ xe dành cho người khuyết tật""?",3,2,False,biển,True,Biển 1.,7,Biển 2.,7,Biển 3.,8,,0,Biển 2.,False,56,ルール3a 80%
103,Khi gặp biển nào xe ưu tiên theo luật định vẫn phải dừng lại?,3,2,False,biển,True,Biển 1.,7,Biển 2.,7,Cả ba biển.,11,,0,Biển 2.,False,61,ルール3a 80%
104,Xe nào được quyền đi trước trong trường hợp này?,2,1,False,quyền,False,Xe mô tô.,9,Xe con.,7,,0,,0,Xe mô tô.,False,48,ルール2 100%
105,"Biển nào báo hiệu ""Đường hai chiều""?",3,1,False,biển,True,Biển 1.,7,Biển 2.,7,Biển 3.,7,,0,Biển 1.,False,36,ルール3a 80%
106,"Biển nào báo hiệu ""Đường hầm""?",3,2,False,biển,True,Cả ba biển.,11,Biển 2.,7,Biển 2 và biển 3.,17,,0,Biển 2.,False,30,ルール3a 80%
107,"Tại nơi đường giao nhau, người lái xe đang đi trên đường không ưu tiên, đường nhánh phải nhường đường như thế nào là đúng quy tắc giao thông?",3,3,False,giao thông,False,Nhường đường cho xe đi ở bên phải mình tới.,43,Nhường đường cho xe đi ở bên trái mình tới.,43,Nhường đường cho xe đi trên đường ưu tiên hoặc đường chính từ bất kỳ hướng nào tới.,83,,0,Nhường đường cho xe đi trên đường ưu tiên hoặc đường chính từ bất kỳ hướng nào tới.,False,141,ルール8 51%
108,"Biển nào cấm tất cả các loại xe cơ giới và thô sơ đi lại trên đường, trừ xe ưu tiên theo luật định (nếu đường vẫn cho xe chạy được)?",3,1,False,biển,True,Biển 1.,7,Biển 2.,7,Cả hai biển.,12,,0,Biển 1.,False,132,ルール3a 80%
109,Biển số 1 có ý nghĩa như thế nào?,3,1,False,biển,False,Biển chỉ dẫn hết cấm đỗ xe theo giờ trong khu vực.,50,Biển chỉ dẫn hết hiệu lực khu vực đỗ xe trên các tuyến đường đối ngoại.,71,Biển chỉ dẫn khu vực đỗ xe trên các tuyến đường đối ngoại.,58,,0,Biển chỉ dẫn hết cấm đỗ xe theo giờ trong khu vực.,False,33,ルール7 42%
110,"Khi gặp xe buýt đang dừng đón, trả khách, người điều khiển xe mô tô phải xử lý như thế nào dưới đây?",3,2,False,xe mô tô,False,Tăng tốc độ để nhanh chóng vượt qua xe buýt.,44,"Quan sát, giảm tốc độ đi qua xe buýt hoặc dừng lại để bảo đảm an toàn.",70,Cả hai ý trên.,14,,0,"Quan sát, giảm tốc độ đi qua xe buýt hoặc dừng lại để bảo đảm an toàn.",True,100,ルール4 56%
111,"Tại nơi đường giao nhau, khi đèn điều khiển giao thông có tín hiệu màu vàng, người điều khiển phương tiện tham gia giao thông phải chấp hành như thế nào là đúng quy tắc giao thông?",3,1,False,giao thông,False,"Dừng lại trước vạch dừng; trường hợp đang đi trên vạch dừng hoặc đã đi qua vạch dừng mà tín hiệu đèn màu vàng thì được đi tiếp; trường hợp tín hiệu đèn màu vàng nhấp nháy, người điều khiển phương tiện tham gia giao thông đường bộ được đi nhưng phải quan sát, giảm tốc độ hoặc dừng lại nhường đường cho người đi bộ, xe lăn của người khuyết tật qua đường hoặc các phương tiện khác.",379,Tăng tốc độ nhanh chóng vượt qua nút giao.,42,"Quan sát, giảm tốc độ, từ từ vượt qua nút giao.",47,,0,"Dừng lại trước vạch dừng; trường hợp đang đi trên vạch dừng hoặc đã đi qua vạch dừng mà tín hiệu đèn màu vàng thì được đi tiếp; trường hợp tín hiệu đèn màu vàng nhấp nháy, người điều khiển phương tiện tham gia giao thông đường bộ được đi nhưng phải quan sát, giảm tốc độ hoặc dừng lại nhường đường cho người đi bộ, xe lăn của người khuyết tật qua đường hoặc các phương tiện khác.",True,180,ルール6 55%
112,Xe nào dừng đúng theo quy tắc giao thông?,3,1,False,giao thông,False,Xe con.,7,Xe mô tô.,9,Cả 2 xe đều đúng.,20,,0,Xe con.,False,41,ルール7 42%
113,"Biển nào chỉ đường dành cho người đi bộ, các loại xe không được đi vào khi gặp biển này?",4,3,False,biển,True,Biển 1.,7,Biển 1 và 3.,12,Biển 3.,7,Cả ba biển.,13,Biển 3.,False,88,ルール3b 80%
114,Người được chở trên xe mô tô có được kéo theo người đang điều khiển xe đạp hay không?,3,2,False,xe mô tô,False,Chỉ được phép nếu cả hai đội mũ bảo hiểm.,41,Không được phép.,16,Chỉ được thực hiện trên đường vắng.,35,,0,Không được phép.,False,85,ルール8 51%
115,Dải phân cách được lắp đặt để làm gì?,3,2,False,dải,False,Để phân chia các làn đường dành cho xe cơ giới và xe thô sơ trên đường cao tốc.,79,Để phân chia phần đường xe chạy thành hai chiều riêng biệt hoặc để phân chia phần đường dành cho xe cơ giới và xe thô sơ hoặc của nhiều loại xe khác nhau trên cùng một chiều đường.,180,Để phân tách phần đường xe chạy và hành lang an toàn giao thông.,64,,0,Để phân chia phần đường xe chạy thành hai chiều riêng biệt hoặc để phân chia phần đường dành cho xe cơ giới và xe thô sơ hoặc của nhiều loại xe khác nhau trên cùng một chiều đường.,True,37,ルール8 51%
116,"Trên một chiều đường có vạch kẻ phân làn đường, người lái xe cơ giới, xe máy chuyên dùng phải điều khiển xe đi trên làn đường nào?",3,2,False,trên,False,Đi trên làn đường bên phải trong cùng.,38,Đi trên làn đường bên trái.,27,Đi ở bất cứ làn nào nhưng phải bảo đảm tốc độ cho phép.,55,,0,Đi trên làn đường bên trái.,False,130,ルール8 51%
117,Biển nào báo hiệu cấm xe mô tô đi vào?,3,1,False,xe mô tô,True,Biển 1.,7,Biển 2.,7,Biển 3,7,,0,Biển 1.,False,38,ルール3a 80%
118,Biển nào dưới đây báo hiệu hết cấm vượt?,4,4,False,biển,True,Biển 1.,7,Biển 2.,7,Biển 3.,7,Biển 2 và biển 3.,17,Biển 2 và biển 3.,False,40,ルール3b 80%
119,"Trong nhóm các phương tiện giao thông đường bộ dưới đây, nhóm phương tiện nào là xe thô sơ?",3,1,False,giao thông,False,"Xe đạp, xe đạp máy, xe đạp điện; xe xích lô; xe lăn dùng cho người khuyết tật; xe vật nuôi kéo và các loại xe tương tự.",119,"Xe đạp (kể cả xe đạp máy, xe đạp điện), xe gắn máy, xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng.",111,"Xe ô tô, máy kéo, rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo.",75,,0,"Xe đạp, xe đạp máy, xe đạp điện; xe xích lô; xe lăn dùng cho người khuyết tật; xe vật nuôi kéo và các loại xe tương tự.",False,91,ルール8 51%
120,"Khi đang lái xe, phía trước có một xe cứu thương đang phát tín hiệu ưu tiên, người lái xe có được phép vượt hay không?",4,1,False,xe cứu thương,False,Không được vượt.,16,Được vượt khi đang đi trên cầu.,31,Được phép vượt khi đi qua nơi giao nhau có ít phương tiện cùng tham gia giao thông.,83,Được vượt khi bảo đảm an toàn.,30,Không được vượt.,True,118,ルール9 60%
121,"Biển nào báo hiệu ""Đường một chiều""?",3,2,False,biển,True,Biển 1.,7,Biển 2.,7,Cả hai biển.,12,,0,Biển 2.,False,36,ルール3a 80%
122,"Người lái xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy không được thực hiện hành vi nào sau đây?",3,2,False,xe mô tô,False,"Đi trên phần đường, làn đường quy định, chấp hành hiệu lệnh của người điều khiển giao thông, đèn tín hiệu giao thông.",117,"Đi xe dàn hàng ngang, đi xe vào phần đường dành cho người đi bộ.",64,Cả hai ý trên.,14,,0,"Đi xe dàn hàng ngang, đi xe vào phần đường dành cho người đi bộ.",True,99,ルール4 56%
123,"Trong đoạn đường hai chiều tại khu đông dân cư đang ùn tắc, người điều khiển xe mô tô có văn hóa giao thông sẽ lựa chọn cách xử lý tình huống nào dưới đây?",3,3,False,xe mô tô,False,Cho xe lấn sang làn ngược chiều để nhanh chóng thoát khỏi nơi ùn tắc.,69,Điều khiển xe trên vỉa hè để nhanh chóng thoát khỏi nơi ùn tắc.,63,"Kiên nhẫn tuân thủ hướng dẫn của người điều khiển giao thông hoặc tín hiệu đèn giao thông, di chuyển trên đúng phần đường bên phải theo chiều đi, nhường đường cho các phương tiện đi ngược chiều.",194,,0,"Kiên nhẫn tuân thủ hướng dẫn của người điều khiển giao thông hoặc tín hiệu đèn giao thông, di chuyển trên đúng phần đường bên phải theo chiều đi, nhường đường cho các phương tiện đi ngược chiều.",False,155,ルール5 78%
124,"Biển nào là biển ""Cấm đi ngược chiều""?",3,2,False,biển,True,Biển 1.,7,Biển 2.,7,Cả ba biển.,11,,0,Biển 2.,False,38,ルール3a 80%
125,Biển nào báo hiệu cấm xe mô tô ba bánh chở hàng đi qua?,4,1,False,xe mô tô,True,Biển 1 và biển 2.,17,Biển 1 và biển 3.,17,Biển 2 và biển 3.,17,Cả ba biển.,11,Biển 1 và biển 2.,False,55,ルール3b 80%
126,Biển nào chỉ dẫn nơi bắt đầu đoạn đường dành cho người đi bộ?,3,2,False,biển,True,Biển 1,6,Biển 2.,7,Biển 3.,8,,0,Biển 2.,False,61,ルール3a 80%
127,"Theo Luật Phòng chống tác hại của rượu, bia, đối tượng nào dưới đây bị cấm sử dụng rượu, bia khi tham gia giao thông?",3,1,False,giao thông,False,"Người điều khiển xe ô tô, xe mô tô, xe đạp, xe gắn máy.",55,Người được chở trên xe cơ giới.,31,Cả hai ý trên.,14,,0,"Người điều khiển xe ô tô, xe mô tô, xe đạp, xe gắn máy.",True,117,ルール4 56%
128,Biển nào báo hiệu đường bộ giao nhau với đường sắt không có rào chắn?,4,3,False,biển,True,Biển 1 và biển 2.,17,Biển 1 và biển 3.,17,Biển 2 và biển 3.,17,Cả ba biển.,11,Biển 2 và biển 3.,False,69,ルール3b 80%
129,Xe nào đỗ vi phạm quy tắc giao thông?,4,3,False,giao thông,False,Chỉ xe mô tô.,13,Chỉ xe tải.,11,Cả ba xe.,9,Chỉ xe mô tô và xe tải.,23,Cả ba xe.,False,37,ルール10 62%
130,Người lái xe có văn hóa giao thông khi tham gia giao thông đường bộ phải đáp ứng các điều kiện nào dưới đây?,2,1,False,giao thông,False,"Hiểu biết và chấp hành nghiêm chỉnh pháp luật về giao thông đường bộ; có ý thức trách nhiệm với cộng đồng khi tham gia giao thông; tôn trọng, nhường nhịn,giúp đỡ và ứng xử có văn hóa với những người cùng tham gia giao thông.",224,"Điều khiển xe vượt quá tốc độ, đi không đúng làn đường.",55,,0,,0,"Hiểu biết và chấp hành nghiêm chỉnh pháp luật về giao thông đường bộ; có ý thức trách nhiệm với cộng đồng khi tham gia giao thông; tôn trọng, nhường nhịn,giúp đỡ và ứng xử có văn hóa với những người cùng tham gia giao thông.",True,108,ルール2 100%
131,Người đủ 16 tuổi đến dưới 18 tuổi chỉ được điều khiển các loại xe nào dưới đây?,4,2,False,tuổi,False,Xe mô tô hai bánh có dung tích xi-lanh đến 125 cm3.,51,Xe gắn máy.,11,3. Xe ô tô chở người đến 08 chỗ (không kể chỗ của người lái xe); xe ô tô tải và ô tô chuyên dùng có khối lượng toàn bộ theo thiết kế đến 3.500 kg; các loại xe ô tô quy định cho giấy phép lái xe hạng B kéo rơ moóc có khối lượng toàn bộ theo thiết kế đến 750 kg.,260,Cả ba ý trên.,13,Xe gắn máy.,True,79,ルール9 60%
132,Người có Giấy phép lái xe mô tô hạng A1 không được phép điều khiển loại xe nào dưới đây?,3,2,False,xe mô tô,False,Xe mô tô hai bánh có dung tích xi-lanh 125 cm3 hoặc có công suất động cơ điện đến 11 kW.,88,Xe mô tô ba bánh.,17,Cả hai ý trên.,14,,0,Xe mô tô ba bánh.,True,88,ルール4 56%
133,"Biển nào báo hiệu ""Giao nhau với đường hai chiều""?",3,2,False,biển,True,Biển 1.,7,Biển 2.,7,Biển 3.,8,,0,Biển 2.,False,50,ルール3a 80%
